"c.t.S..n.hat.1.n.t...d..cen."	"ncol"	"byrow"
"224"	0	4	FALSE
"225"	0	4	FALSE
"226"	0	4	FALSE
"227"	0	4	FALSE
"228"	3	4	FALSE
"229"	2	4	FALSE
"230"	1	4	FALSE
"231"	0	4	FALSE
"232"	0	4	FALSE
"233"	0	4	FALSE
"234"	0	4	FALSE
"235"	1	4	FALSE
"236"	2	4	FALSE
"237"	2	4	FALSE
"238"	1	4	FALSE
"239"	0	4	FALSE
"240"	0	4	FALSE
"241"	0	4	FALSE
"242"	0	4	FALSE
"243"	0	4	FALSE
"244"	0	4	FALSE
"245"	0	4	FALSE
"246"	0	4	FALSE
"247"	0	4	FALSE
"248"	0	4	FALSE
"249"	0	4	FALSE
"250"	1	4	FALSE
"251"	0	4	FALSE
"252"	0	4	FALSE
"253"	0	4	FALSE
"254"	0	4	FALSE
"255"	0	4	FALSE
"256"	0	4	FALSE
"257"	0	4	FALSE
"258"	0	4	FALSE
"259"	0	4	FALSE
"260"	0	4	FALSE
"261"	0	4	FALSE
"262"	0	4	FALSE
"263"	0	4	FALSE
"264"	0	4	FALSE
"265"	0	4	FALSE
"266"	0	4	FALSE
"267"	0	4	FALSE
"268"	0	4	FALSE
"269"	4	4	FALSE
"270"	1	4	FALSE
"271"	4	4	FALSE
"272"	0	4	FALSE
"273"	2	4	FALSE
"274"	1	4	FALSE
"275"	1	4	FALSE
"276"	2	4	FALSE
"277"	1	4	FALSE
"278"	0	4	FALSE
"279"	0	4	FALSE
