x	y
1.03E+01	4.30E+01
1.03E+01	4.27E+01
1.04E+01	4.25E+01
1.04E+01	4.21E+01
1.05E+01	4.20E+01
1.06E+01	4.20E+01
1.06E+01	4.20E+01
1.06E+01	4.20E+01
1.07E+01	4.20E+01
1.07E+01	4.20E+01
1.08E+01	4.22E+01
1.08E+01	4.22E+01
1.09E+01	4.20E+01
1.09E+01	4.20E+01
1.10E+01	4.17E+01
1.11E+01	4.11E+01
1.11E+01	4.07E+01
1.11E+01	3.97E+01
1.11E+01	3.96E+01
1.11E+01	3.92E+01
1.12E+01	3.91E+01
1.14E+01	3.83E+01
1.14E+01	3.81E+01
1.14E+01	3.77E+01
1.16E+01	3.75E+01
1.16E+01	3.74E+01
1.17E+01	3.74E+01
1.17E+01	3.72E+01
1.17E+01	3.71E+01
1.17E+01	3.69E+01
1.18E+01	3.70E+01
1.19E+01	3.68E+01
1.20E+01	3.68E+01
1.21E+01	3.65E+01
1.21E+01	3.62E+01
1.22E+01	3.62E+01
1.23E+01	3.62E+01
1.23E+01	3.62E+01
1.23E+01	3.62E+01
1.24E+01	3.58E+01
1.25E+01	3.58E+01
1.26E+01	3.54E+01
1.26E+01	3.49E+01
1.26E+01	3.49E+01
1.27E+01	3.48E+01
1.28E+01	3.45E+01
1.28E+01	3.45E+01
1.29E+01	3.39E+01
1.29E+01	3.39E+01
1.30E+01	3.34E+01
1.31E+01	3.30E+01
1.31E+01	3.24E+01
1.32E+01	3.17E+01
1.32E+01	3.12E+01
1.33E+01	3.03E+01
1.33E+01	2.98E+01
1.34E+01	2.94E+01
1.35E+01	2.93E+01
1.36E+01	2.88E+01
1.37E+01	2.84E+01
1.38E+01	2.84E+01
1.39E+01	2.86E+01
1.40E+01	2.86E+01
1.41E+01	2.86E+01
1.41E+01	2.86E+01
1.41E+01	2.87E+01
1.42E+01	2.87E+01
1.43E+01	2.87E+01
1.43E+01	2.87E+01
1.44E+01	2.87E+01
1.45E+01	2.87E+01
1.46E+01	2.87E+01
1.46E+01	2.86E+01
1.47E+01	2.82E+01
1.48E+01	2.82E+01
1.49E+01	2.81E+01
1.50E+01	2.80E+01
1.50E+01	2.80E+01
1.51E+01	2.80E+01
1.52E+01	2.80E+01
1.53E+01	2.78E+01
1.54E+01	2.81E+01
1.55E+01	2.81E+01
1.55E+01	2.80E+01
